id,topic,speaker,twitter,tag,monkvideo,video,slides,description,threads
bcantrill,Principles of Technology Leadership,Bryan Cantrill,bcantrill,governance,https://redmonk.com/videos/principles-of-technology-leadership-bryan-cantrill-monktoberfest-2017/,https://www.youtube.com/watch?v=9QMGAtxUlAc&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=2&t=3s,,A critical review of select corporate values statements.
charlie_simpson,Secrets vs. Mysteries: Social Science as Data Science,Erin Simpson,charlie_simpson,psychology,https://redmonk.com/videos/secrets-vs-mysteries-social-science-as-data-science-erin-simpson-monktoberfest-2017/,https://www.youtube.com/watch?v=KuWPkboDOqA&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=5&t=0s,,
clarabellum,How To Save The World (or at least survive the year),Clara Beyer,clarabellum,psychology,https://redmonk.com/videos/how-to-save-the-world-or-at-least-survive-the-year-clara-beyer-monktoberfest-2017/,https://www.youtube.com/watch?v=-PbrV07_K9E&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=3&t=217s,,
sarah_hines,The Best Hire I Ever Made - Steve Money,Sarah C. Hines,sarah_hines,diversity,https://redmonk.com/videos/what-my-name-says-about-you-or-remington-steele-is-a-thing-sarah-hines-monktoberfest-2017/,https://www.youtube.com/watch?v=oJ17en7-MwY&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=6&t=0s,,Exploring differences in gender perception online.
lkanies,(imposter syndrome),Luke Kanies,lkanies,psychology,,,,
gerrymandr,Not Your Father's Gerrymander: Redistricting And Technology,Mira Bernstein,gerrymandr,governance,https://redmonk.com/videos/gerrymandering-the-role-of-technology-mira-bernstein-monktoberfest-2017/,https://www.youtube.com/watch?v=9adYLCdxDzE&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=4&t=2s,,Using mapping analysis to show real effects of gerrymanders.
ZUrlocker,Building A Tech Company Outside Of Silicon Valley,Zack Urlocker,ZUrlocker,funding,https://redmonk.com/videos/building-a-tech-company-outside-of-silicon-valley-zack-urlocker-monktoberfest-2017/,https://www.youtube.com/watch?v=msqWwNjkLHc&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=8&t=26s,,
r0ml,Age Discrimination In Tech,Robert Lefkowitz,r0ml,diversity,https://redmonk.com/videos/age-discrimination-in-tech-r0ml-lefkowitz-monktoberfest-2017/,https://www.youtube.com/watch?v=r0177DlJ0eU&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=9&t=0s,,
JamesBessen,"No, Technology Is Not About To Take All Our Jobs",James Bessen,JamesBessen,psychology,https://redmonk.com/videos/no-technology-is-not-about-to-take-all-our-jobs-james-bessen-monktoberfest-2017/,https://www.youtube.com/watch?v=AC02sFLnZ-I&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=10&t=0s,,
MandyWhaley,"Marie Curie, & Open Source, Kickstarter, and Women in Tech",Mandy Whaley,MandyWhaley,diversity,https://redmonk.com/videos/marie-curie-open-source-kickstarter-and-women-in-tech-amanda-whaley-monktoberfest-2017/,https://www.youtube.com/watch?v=8TL3DA0kSAo&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=11&t=517s,,
aneel,Change Through Obsolescence,Aneel Lakhani,aneel,psychology,https://redmonk.com/videos/change-through-obsolescence-aneel-lakhani-monktoberfest-2017/,https://www.youtube.com/watch?v=bMwfmEhnXgw&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=12&t=0s,,
dturkenk,The Cathedral And The Ballpark,Dan Turkenkopf,dturkenk,data,https://redmonk.com/videos/the-cathedral-and-the-ballpark-dan-turkenkopf-monktoberfest-2017/,https://www.youtube.com/watch?v=IVLlNVkUNDs&list=PLvsKqlNNP3R8HobEa53Noe7xcDJFg0dop&index=13&t=192s,,
